t,μ,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint,Ef (eV)
0.600700511,0.713643178,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,12.9676,207.2,600.75,3.351807142
0.602078831,0.697947214,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,11.8138,207.2,600.75,4.373009642
0.602888815,0.688856729,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,12.9676,17.4228,207.2,600.75,1.9920555
0.604988925,0.665734266,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,17.4228,207.2,600.75,0.9382345
0.610119248,0.611825193,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,11.8138,207.2,600.75,1.252009
0.604211378,0.674220963,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,11.8138,17.4228,207.2,600.75,0.562297
0.607497964,0.638926174,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,17.4228,207.2,600.75,0.5039105
0.611265673,0.600252207,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,12.9676,207.2,600.75,-0.2410365
0.608226809,0.631299735,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,10.4513,17.4228,207.2,600.75,1.798968
0.609418134,0.618985696,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,17.4228,207.2,600.75,2.7695085
0.613044626,0.582619339,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,12.9676,207.2,600.75,1.9918545
0.620037663,1.015037594,12,12,81,1.228,1.228,0.204,3.59,0.0017,5.2117,17.4228,17.4228,137.327,1002.15,-0.105337
0.802754075,0.556390977,12,12,35,1.228,1.228,0.388,7.13,0.0017,9.3942,17.4228,17.4228,65.38,692.88,-2.604792
0.716250403,0.744360902,12,12,20,1.228,1.228,0.647,1.54,0.0017,6.1132,17.4228,17.4228,40.078,1112.15,3.40217
0.722478668,0.729323308,12,12,64,1.228,1.228,0.232,8.69,0.0017,8.9938,17.4228,17.4228,112.411,594.33,2.103814
0.800819728,0.560150376,12,12,32,1.228,1.228,0.421,8.86,0.0017,7.881,17.4228,17.4228,58.933,1768.15,1.280853
0.830850468,0.503759398,12,12,28,1.228,1.228,0.449,7.15,0.0017,6.7665,17.4228,17.4228,51.996,2130.15,-3.761008
0.80665094,0.54887218,12,12,35,1.228,1.228,0.385,8.96,0.0017,7.7264,17.4228,17.4228,63.546,1357.75,3.416709544
0.839242897,0.488721805,12,12,30,1.228,1.228,0.449,7.87,0.0017,7.9024,17.4228,17.4228,55.845,1808.15,-0.14138
0.810585822,0.541353383,12,12,12,1.228,1.228,1.023,1.74,0.0017,7.6462,17.4228,17.4228,24.305,923.15,3.031533
0.856546874,0.458646617,12,12,30,1.228,1.228,0.479,7.44,0.0017,7.434,17.4228,17.4228,54.938,1519.15,-2.106858296
0.822624226,0.518796992,12,12,31,1.228,1.228,0.444,8.91,0.0017,7.6398,17.4228,17.4228,58.693,1726.15,3.801886524
0.75196057,1.015037594,48,48,81,0.363,0.363,0.204,3.59,0.0017,5.2117,17.4228,17.4228,137.327,1002.15,2.445811
0.973552815,0.556390977,48,48,35,0.363,0.363,0.388,7.13,0.0017,9.3942,17.4228,17.4228,65.38,692.88,-2.652135
0.868644106,0.744360902,48,48,20,0.363,0.363,0.647,1.54,0.0017,6.1132,17.4228,17.4228,40.078,1112.15,2.218647
0.876197533,0.729323308,48,48,64,0.363,0.363,0.232,8.69,0.0017,8.9938,17.4228,17.4228,112.411,594.33,0.939276
0.971206904,0.560150376,48,48,32,0.363,0.363,0.421,8.86,0.0017,7.881,17.4228,17.4228,58.933,1768.15,2.957712
1.007627163,0.503759398,48,48,28,0.363,0.363,0.449,7.15,0.0017,6.7665,17.4228,17.4228,51.996,2130.15,-2.793789
0.978278799,0.54887218,48,48,35,0.363,0.363,0.385,8.96,0.0017,7.7264,17.4228,17.4228,63.546,1357.75,2.251445544
1.017805215,0.488721805,48,48,30,0.363,0.363,0.449,7.87,0.0017,7.9024,17.4228,17.4228,55.845,1808.15,0.22958
0.983050891,0.541353383,48,48,12,0.363,0.363,1.023,1.74,0.0017,7.6462,17.4228,17.4228,24.305,923.15,1.878962
1.03879089,0.458646617,48,48,30,0.363,0.363,0.479,7.44,0.0017,7.434,17.4228,17.4228,54.938,1519.15,-0.385687296
0.997650657,0.518796992,48,48,31,0.363,0.363,0.444,8.91,0.0017,7.6398,17.4228,17.4228,58.693,1726.15,2.636438524
0.57508368,0.745856354,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,12.9676,12.9676,137.327,1002.15,1.496598
0.712652717,0.408839779,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,12.9676,12.9676,65.38,692.88,-1.632445
0.64902301,0.546961326,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,12.9676,12.9676,40.078,1112.15,0.678476
0.65369224,0.535911602,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,12.9676,12.9676,112.411,594.33,-0.014042
0.711258093,0.41160221,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,12.9676,12.9676,58.933,1768.15,2.767527
0.732767914,0.370165746,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,12.9676,12.9676,51.996,2130.15,-3.168501
0.715458436,0.403314917,4,4,35,3.582,3.582,0.385,8.96,0.00321,7.7264,12.9676,12.9676,63.546,1357.75,1.240116896
0.738725377,0.359116022,4,4,30,3.582,3.582,0.449,7.87,0.00321,7.9024,12.9676,12.9676,55.845,1808.15,3.575708
0.718286335,0.397790055,4,4,12,3.582,3.582,1.023,1.74,0.00321,7.6462,12.9676,12.9676,24.305,923.15,1.798578
0.750935714,0.337016575,4,4,30,3.582,3.582,0.479,7.44,0.00321,7.434,12.9676,12.9676,54.938,1519.15,-0.254871494
0.726905771,0.38121547,4,4,31,3.582,3.582,0.444,8.91,0.00321,7.6398,12.9676,12.9676,58.693,1726.15,-1.156173901
0.71381982,0.745856354,20,20,81,0.757,0.757,0.204,3.59,0.00321,5.2117,12.9676,12.9676,137.327,1002.15,1.183651
0.884576718,0.408839779,20,20,35,0.757,0.757,0.388,7.13,0.00321,9.3942,12.9676,12.9676,65.38,692.88,-0.799363
0.805596654,0.546961326,20,20,20,0.757,0.757,0.647,1.54,0.00321,6.1132,12.9676,12.9676,40.078,1112.15,0.263084
