t,¦Ì,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint
0.579622289,0.702210663,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,11.8138,10.4513,137.327,1002.15
0.5741369,0.755244755,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,10.4513,12.9676,137.327,1002.15
0.577241256,0.724832215,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,10.4513,11.8138,137.327,1002.15
0.573176444,0.764872521,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,17.4228,11.8138,137.327,1002.15
0.578144493,0.716180371,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,17.4228,10.4513,137.327,1002.15
0.566044059,0.839813375,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,11.8138,17.4228,137.327,1002.15
0.584131689,0.660954712,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,11.8138,10.4513,137.327,1002.15
0.568848952,0.809595202,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,10.4513,17.4228,137.327,1002.15
0.581917584,0.680958386,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,10.4513,11.8138,137.327,1002.15
0.571544474,0.781476122,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,17.4228,12.9676,137.327,1002.15
0.579622289,0.702210663,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,17.4228,10.4513,137.327,1002.15
0.566044059,0.839813375,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,12.9676,17.4228,137.327,1002.15
0.584131689,0.660954712,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,12.9676,10.4513,137.327,1002.15
0.570546061,0.791788856,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,10.4513,17.4228,137.327,1002.15
0.58049282,0.694087404,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,10.4513,12.9676,137.327,1002.15
0.5741369,0.755244755,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,17.4228,12.9676,137.327,1002.15
0.577241256,0.724832215,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,17.4228,11.8138,137.327,1002.15
0.568848952,0.809595202,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,12.9676,17.4228,137.327,1002.15
0.581917584,0.680958386,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,12.9676,11.8138,137.327,1002.15
0.570546061,0.791788856,4,4,81,3.582,3.582,0.204,3.59,0.0017,5.2117,11.8138,17.4228,137.327,1002.15
0.58049282,0.694087404,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,11.8138,12.9676,137.327,1002.15
0.712752344,0.419263456,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,12.9676,11.8138,65.38,692.88
0.712494261,0.392572944,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,12.9676,10.4513,65.38,692.88
0.712838143,0.428364689,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,11.8138,12.9676,65.38,692.88
0.712418381,0.384915475,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,11.8138,10.4513,65.38,692.88
0.712702087,0.413986014,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,10.4513,12.9676,65.38,692.88
0.712540839,0.397315436,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,10.4513,11.8138,65.38,692.88
0.712752344,0.419263456,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,17.4228,11.8138,65.38,692.88
0.712494261,0.392572944,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,17.4228,10.4513,65.38,692.88
0.71313112,0.460342146,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,11.8138,17.4228,65.38,692.88
0.71218931,0.362301102,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,11.8138,10.4513,65.38,692.88
0.712980981,0.443778111,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,10.4513,17.4228,65.38,692.88
0.712301321,0.373266078,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,10.4513,11.8138,65.38,692.88
0.712838143,0.428364689,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,17.4228,12.9676,65.38,692.88
0.712418381,0.384915475,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,17.4228,10.4513,65.38,692.88
0.71313112,0.460342146,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,12.9676,17.4228,65.38,692.88
0.71218931,0.362301102,4,4,35,3.582,3.582,0.388,7.13,4.93,9.3942,12.9676,10.4513,65.38,692.88
0.712890886,0.434017595,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,10.4513,17.4228,65.38,692.88
0.712373871,0.380462725,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,10.4513,12.9676,65.38,692.88
0.712702087,0.413986014,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,17.4228,12.9676,65.38,692.88
0.712540839,0.397315436,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,17.4228,11.8138,65.38,692.88
0.712980981,0.443778111,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,12.9676,17.4228,65.38,692.88
0.712301321,0.373266078,4,4,35,3.582,3.582,0.388,7.13,3.12,9.3942,12.9676,11.8138,65.38,692.88
0.712890886,0.434017595,4,4,35,3.582,3.582,0.388,7.13,0.0017,9.3942,11.8138,17.4228,65.38,692.88
0.712373871,0.380462725,4,4,35,3.582,3.582,0.388,7.13,0.00321,9.3942,11.8138,12.9676,65.38,692.88
0.648074273,0.560906516,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,12.9676,11.8138,40.078,1112.15
0.650538239,0.525198939,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,12.9676,10.4513,40.078,1112.15
0.647259657,0.573082489,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,11.8138,12.9676,40.078,1112.15
0.651266589,0.514954486,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,11.8138,10.4513,40.078,1112.15
0.648552484,0.553846154,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,10.4513,12.9676,40.078,1112.15
0.650092036,0.531543624,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,10.4513,11.8138,40.078,1112.15
0.648074273,0.560906516,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,17.4228,11.8138,40.078,1112.15
0.650538239,0.525198939,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,17.4228,10.4513,40.078,1112.15
0.644494824,0.615863142,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,11.8138,17.4228,40.078,1112.15
0.653476259,0.484700122,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,11.8138,10.4513,40.078,1112.15
0.645908452,0.593703148,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,10.4513,17.4228,40.078,1112.15
0.652393725,0.499369483,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,10.4513,11.8138,40.078,1112.15
0.647259657,0.573082489,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,17.4228,12.9676,40.078,1112.15
0.651266589,0.514954486,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,17.4228,10.4513,40.078,1112.15
0.644494824,0.615863142,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,12.9676,17.4228,40.078,1112.15
0.653476259,0.484700122,4,4,20,3.582,3.582,0.647,1.54,4.93,6.1132,12.9676,10.4513,40.078,1112.15
0.646760006,0.580645161,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,10.4513,17.4228,40.078,1112.15
0.651694665,0.508997429,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,10.4513,12.9676,40.078,1112.15
0.648552484,0.553846154,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,17.4228,12.9676,40.078,1112.15
0.650092036,0.531543624,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,17.4228,11.8138,40.078,1112.15
0.645908452,0.593703148,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,12.9676,17.4228,40.078,1112.15
0.652393725,0.499369483,4,4,20,3.582,3.582,0.647,1.54,3.12,6.1132,12.9676,11.8138,40.078,1112.15
0.646760006,0.580645161,4,4,20,3.582,3.582,0.647,1.54,0.0017,6.1132,11.8138,17.4228,40.078,1112.15
0.651694665,0.508997429,4,4,20,3.582,3.582,0.647,1.54,0.00321,6.1132,11.8138,12.9676,40.078,1112.15
0.65281339,0.549575071,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,12.9676,11.8138,112.411,594.33
0.655095424,0.514588859,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,12.9676,10.4513,112.411,594.33
0.652058617,0.561505065,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,11.8138,12.9676,112.411,594.33
0.655769729,0.504551365,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,11.8138,10.4513,112.411,594.33
0.653256401,0.542657343,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,10.4513,12.9676,112.411,594.33
0.654682271,0.520805369,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,10.4513,11.8138,112.411,594.33
0.65281339,0.549575071,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,17.4228,11.8138,112.411,594.33
0.655095424,0.514588859,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,17.4228,10.4513,112.411,594.33
0.649495753,0.603421462,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,11.8138,17.4228,112.411,594.33
0.65781469,0.474908201,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,11.8138,10.4513,112.411,594.33
0.650806336,0.581709145,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,10.4513,17.4228,112.411,594.33
0.656812988,0.489281211,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,10.4513,11.8138,112.411,594.33
0.652058617,0.561505065,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,17.4228,12.9676,112.411,594.33
0.655769729,0.504551365,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,17.4228,10.4513,112.411,594.33
0.649495753,0.603421462,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,12.9676,17.4228,112.411,594.33
0.65781469,0.474908201,4,4,64,3.582,3.582,0.232,8.69,4.93,8.9938,12.9676,10.4513,112.411,594.33
0.651595595,0.568914956,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,10.4513,17.4228,112.411,594.33
0.656165984,0.498714653,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,10.4513,12.9676,112.411,594.33
0.653256401,0.542657343,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,17.4228,12.9676,112.411,594.33
0.654682271,0.520805369,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,17.4228,11.8138,112.411,594.33
0.650806336,0.581709145,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,12.9676,17.4228,112.411,594.33
0.656812988,0.489281211,4,4,64,3.582,3.582,0.232,8.69,3.12,8.9938,12.9676,11.8138,112.411,594.33
0.651595595,0.568914956,4,4,64,3.582,3.582,0.232,8.69,0.0017,8.9938,11.8138,17.4228,112.411,594.33
0.656165984,0.498714653,4,4,64,3.582,3.582,0.232,8.69,0.00321,8.9938,11.8138,12.9676,112.411,594.33
0.711332519,0.422096317,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,12.9676,11.8138,58.933,1768.15
0.71113971,0.395225464,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,12.9676,10.4513,58.933,1768.15
0.71139661,0.431259045,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,11.8138,12.9676,58.933,1768.15
0.711083014,0.387516255,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,11.8138,10.4513,58.933,1768.15
0.711294975,0.416783217,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,10.4513,12.9676,58.933,1768.15
0.71117451,0.4,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,10.4513,11.8138,58.933,1768.15
0.711332519,0.422096317,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,17.4228,11.8138,58.933,1768.15
